10
798 722 401  942
657 520 705  907
524 943 698  836
852 904 715  944
744 718 879  310
802 882 933  576
990 801 608  323
787 425 782  224
750 414 942  772
952 768 476  185
20
756 617 378  286 108
405 669 53  255 224
180 467 722  82 169
42 333 598  281 112
330 76 691  68 249
783 339 609  202 47
21 364 693  173 270
441 141 218  74 199
209 378 611  276 79
785 349 355  25 217
318 125 343  193 44
482 147 303  114 295
782 719 222  151 143
777 100 40  114 276
670 417 357  112 198
43 134 726  227 232
686 183 548  191 233
788 270 528  279 228
642 709 738  24 187
164 357 658  9 28
