10
763 580 975  898
862 441 834  881
431 517 549  756
969 431 962  521
716 916 629  157
624 989 603  722
466 495 901  486
803 513 737  717
768 546 585  192
491 429 769  495
30
662 597 326  214 292
98 702 404  28 26
308 278 518  106 2
612 373 692  183 103
450 270 25  249 2
249 442 68  167 34
545 457 121  222 26
680 157 58  182 49
222 670 28  139 254
380 539 560  233 24
136 264 534  43 283
303 371 609  292 206
723 133 425  165 36
510 489 532  41 190
636 312 120  290 184
19 692 74  144 230
607 109 88  60 270
356 478 225  116 287
562 474 215  116 161
697 370 690  271 177
5 296 351  26 222
523 446 313  126 161
430 776 269  95 51
575 110 419  60 212
75 418 376  83 293
237 6 186  177 71
707 449 28  218 292
286 11 644  81 290
278 490 682  268 123
689 579 241  209 290
