10
834 529 657  982
864 439 664  335
819 749 546  590
778 488 531  160
986 470 899  345
494 873 918  143
554 532 473  240
969 602 766  435
402 886 788  600
899 814 903  362
40
165 494 59  272 264
185 183 513  109 19
220 410 50  24 209
636 447 158  293 263
336 298 260  241 56
503 680 357  159 25
329 602 428  187 96
115 72 769  224 272
315 764 591  110 240
576 321 112  242 20
323 324 506  293 276
305 199 366  35 151
67 583 58  136 140
506 588 220  218 10
417 773 693  296 238
673 636 13  105 25
434 367 256  59 80
261 379 82  128 212
453 213 69  170 284
323 455 265  177 103
796 465 575  181 261
210 590 28  207 91
497 278 332  110 73
490 775 706  14 64
119 242 627  289 189
779 22 51  255 281
678 392 14  225 5
574 229 391  129 133
651 193 698  244 298
422 589 160  121 168
627 539 185  37 60
357 491 745  111 238
789 197 223  114 228
800 512 17  59 277
786 318 713  151 143
362 116 82  126 10
397 120 65  158 121
379 659 417  46 198
493 404 266  166 97
173 202 702  143 36
