10
726 830 876  603
540 819 801  718
587 960 431  906
500 593 690  133
995 649 408  326
555 449 876  980
816 784 431  822
609 629 584  462
954 979 797  694
444 541 766  909
30
780 704 455  252 77
198 197 108  272 86
770 485 273  199 205
172 321 459  246 220
362 213 498  255 182
469 294 346  92 16
368 646 350  4 282
158 350 39  182 166
310 478 762  260 74
356 696 94  191 101
10 237 93  171 286
655 487 606  9 44
78 384 775  13 185
135 647 593  174 89
233 42 683  275 279
184 366 725  8 244
45 335 459  52 7
252 366 274  33 242
274 403 565  187 70
124 301 428  240 123
619 684 116  147 207
213 226 199  272 259
252 431 97  163 11
295 144 360  72 145
26 75 284  226 152
419 285 171  130 145
614 722 163  31 229
295 723 142  151 272
536 666 152  29 88
166 349 296  14 207
