10
912 834 662  306
964 473 935  807
975 444 410  809
769 453 921  656
654 550 522  272
943 500 921  399
881 770 927  126
617 969 440  413
676 521 465  883
652 838 827  406
30
502 146 274  130 232
117 640 575  47 58
698 746 495  89 5
572 747 655  113 79
384 272 445  100 39
223 74 735  229 299
559 279 25  145 25
358 227 148  175 163
24 96 418  273 148
711 276 133  231 7
368 424 150  143 247
6 759 547  209 243
720 796 684  192 87
448 172 368  146 91
260 654 64  272 268
708 691 779  224 195
120 354 698  46 144
738 365 582  230 33
507 626 65  210 269
206 251 682  78 182
324 766 300  185 117
290 96 114  14 81
70 317 631  207 2
726 609 295  177 84
740 739 582  276 193
57 790 408  106 109
506 798 791  191 155
721 594 798  10 70
352 320 573  266 40
556 356 529  114 29
