10
692 726 450  939
534 725 419  189
993 832 717  793
840 836 586  362
800 974 423  663
670 506 564  504
685 457 714  634
682 962 449  187
734 595 529  991
925 841 763  554
40
123 532 651  259 136
751 476 416  180 103
79 780 422  18 172
742 401 115  116 266
562 248 788  182 67
87 50 774  197 208
265 570 61  205 147
342 600 691  298 214
154 537 15  194 201
224 304 677  170 200
184 404 241  160 61
76 266 314  241 194
637 760 16  100 300
259 362 652  247 222
328 455 340  290 58
50 528 218  38 118
437 492 532  166 92
472 129 289  257 166
265 66 343  95 130
151 301 597  100 175
89 582 100  240 150
78 364 35  21 270
547 567 41  190 8
85 129 483  275 127
229 513 779  57 234
314 187 5  255 242
358 36 788  259 79
544 130 392  29 16
505 280 344  124 129
612 146 281  90 165
428 206 756  224 238
43 546 5  224 60
268 681 614  298 78
369 69 402  111 241
601 397 176  106 163
145 414 588  5 246
716 118 554  33 18
616 484 112  224 1
121 729 72  282 250
414 687 441  180 259
