10
459 466 544  770
826 789 608  948
884 728 518  769
735 594 763  634
691 971 467  733
539 807 449  358
771 707 821  531
417 691 680  233
809 577 565  734
560 741 574  536
20
764 346 170  284 274
299 141 711  261 38
350 309 792  109 225
432 308 421  24 119
505 654 319  57 266
396 73 241  289 36
668 361 800  13 119
295 248 627  47 248
507 800 511  168 80
235 304 703  109 85
637 195 356  206 224
794 125 132  197 189
382 185 546  170 79
595 718 54  222 274
174 400 397  115 177
529 335 54  58 216
628 438 654  259 63
368 654 249  26 29
290 611 673  288 27
424 150 660  72 219
