10
874 982 526  265
856 533 521  387
497 869 671  377
649 898 899  144
437 792 823  129
435 424 996  514
401 816 831  610
505 414 422  429
869 981 922  408
470 768 690  122
40
452 772 22  295 23
386 378 580  17 92
623 155 263  201 215
133 714 1  161 273
23 283 87  183 299
799 571 335  287 296
612 615 649  211 56
361 456 226  181 148
375 693 137  76 151
548 76 40  30 284
18 419 3  267 27
324 312 26  7 250
609 94 296  136 194
555 610 464  264 79
621 517 463  254 291
460 692 358  245 6
518 273 559  186 270
259 478 657  84 16
569 786 728  117 282
762 674 465  273 30
87 127 27  300 133
170 337 182  238 22
738 691 6  105 132
297 397 206  159 256
267 692 541  5 220
424 95 687  249 73
766 49 507  244 113
651 248 25  8 273
76 80 144  278 299
143 455 486  16 271
292 122 554  134 160
415 238 594  196 3
594 683 800  125 292
95 11 3  262 241
52 622 687  181 16
19 79 654  132 135
632 364 686  16 156
113 571 607  294 20
142 540 110  202 29
329 367 334  256 82
