10
903 861 663  434
865 964 549  154
426 935 714  164
736 875 966  709
584 801 608  953
590 580 654  108
542 898 995  593
713 646 792  753
848 959 829  236
432 619 681  328
20
786 508 67  291 281
728 572 14  159 179
181 108 330  113 278
451 703 636  200 273
27 63 477  60 64
532 87 150  202 173
671 50 59  113 154
215 154 704  199 249
593 445 191  7 256
608 408 25  296 107
592 126 156  43 286
548 548 326  134 274
713 3 716  183 80
771 569 555  80 209
586 287 626  44 175
693 352 380  62 202
740 212 194  175 90
160 293 544  225 229
362 71 295  281 65
508 356 92  268 285
