10
1000 882 950  998
489 459 845  384
966 499 609  895
762 466 490  165
500 618 644  188
922 859 719  302
456 958 955  396
859 584 975  757
750 444 603  305
960 584 498  641
40
533 270 76  41 117
2 239 777  35 189
321 166 457  134 30
290 584 449  250 282
313 408 334  156 52
93 297 193  147 39
129 510 60  221 18
659 24 150  270 249
411 525 427  244 250
211 94 51  166 147
235 274 553  177 187
614 790 185  97 242
304 629 659  48 241
163 352 18  86 52
18 793 667  156 207
715 612 758  160 290
126 4 172  271 18
575 158 411  88 121
489 628 313  91 182
413 88 579  32 235
313 664 789  43 249
390 477 400  284 251
166 637 576  272 108
264 752 329  224 108
259 764 234  226 74
130 425 441  208 186
688 284 139  256 127
536 555 334  225 248
218 624 151  269 190
299 573 309  226 54
217 178 305  152 60
438 412 224  19 75
250 658 644  125 133
633 385 456  152 183
179 706 765  56 126
374 240 644  187 58
650 315 466  58 294
86 257 374  272 58
426 17 790  149 257
798 746 100  195 242
