10
449 805 544  586
623 918 935  792
793 874 958  526
913 768 545  566
400 573 676  181
993 447 837  243
995 828 971  387
573 625 528  388
551 785 597  373
863 572 991  231
30
37 752 389  266 274
328 482 355  193 18
357 762 55  72 140
658 17 21  103 115
248 136 680  55 91
91 294 758  191 82
721 398 464  130 141
535 523 751  119 43
95 785 404  76 111
612 265 79  274 182
273 464 12  205 82
359 745 16  195 101
458 117 7  206 117
540 546 157  196 239
240 365 782  259 55
375 49 294  248 171
47 666 263  45 182
247 608 781  197 122
232 576 171  264 49
435 194 96  266 51
71 677 111  182 185
453 232 471  22 55
550 693 28  92 271
151 413 70  265 50
742 309 665  16 288
599 396 293  67 233
6 701 154  73 39
134 285 460  35 160
514 433 665  191 107
734 313 84  155 71
