1
660 532 847  690
40
385 238 414  304 50
301 44 171  241 334
490 157 60  302 289
321 99 182  248 458
3 87 8  200 299
337 343 234  357 420
460 65 21  260 484
465 284 323  17 299
32 334 191  183 288
449 442 428  272 1
407 413 240  247 24
163 460 436  156 189
432 278 481  12 224
390 190 327  89 87
185 86 327  443 497
106 294 442  404 428
319 322 89  486 383
132 257 11  326 79
411 86 171  99 415
164 422 166  152 364
379 497 453  277 40
446 223 377  320 94
272 288 8  239 237
30 299 130  2 154
374 74 197  140 93
193 280 437  432 458
77 252 500  273 54
152 248 476  194 242
187 323 95  368 39
467 9 370  365 78
60 448 361  99 199
107 91 240  31 204
230 99 268  489 400
223 185 345  464 55
406 353 308  468 419
51 11 67  196 447
500 372 260  467 289
71 294 258  207 268
490 84 16  29 482
225 405 490  123 208
