15
769 946 680  768
838 594 983  263
418 783 859  912
430 429 551  612
773 554 474  705
427 872 899  420
724 563 508  773
568 675 934  359
578 433 440  184
421 414 738  224
518 851 522  165
588 896 560  365
868 705 545  357
810 703 663  856
404 942 813  555
15
524 740 760  157 258
329 746 304  161 83
404 392 158  97 95
63 308 336  113 200
249 242 26  201 24
499 690 426  170 14
2 392 82  171 197
121 180 17  53 114
186 752 388  88 138
152 567 541  99 17
72 628 155  290 237
138 618 284  102 163
341 463 233  103 56
198 165 464  86 73
328 680 526  221 220
