15
563 713 432  115
785 633 811  459
750 498 421  694
583 407 709  726
421 724 967  864
600 984 902  967
975 869 569  244
491 468 944  327
581 511 570  847
646 653 966  144
898 410 954  260
812 644 901  511
856 485 441  943
818 582 540  578
972 922 827  735
15
447 210 251  120 98
416 124 737  198 3
468 348 309  188 236
793 240 376  83 278
777 354 658  63 225
578 576 121  36 184
592 603 67  273 10
718 642 546  127 203
333 751 567  164 276
635 738 746  16 210
339 762 571  204 139
545 762 209  15 255
203 189 786  265 36
749 4 121  172 241
674 73 337  96 275
