15
763 775 575  230
898 993 426  185
854 892 403  774
454 406 641  262
956 668 498  896
764 515 988  343
955 493 986  844
767 974 911  663
510 917 539  748
743 679 552  562
731 648 967  263
852 672 458  573
853 472 903  757
646 724 805  664
433 539 429  721
15
111 171 770  166 84
644 108 435  45 204
559 163 401  186 96
93 452 670  270 87
378 263 708  30 56
331 604 577  90 171
19 750 302  84 164
378 57 63  30 76
248 63 231  282 94
667 718 599  257 212
514 23 528  23 229
27 333 284  191 174
237 216 285  300 116
502 614 268  25 24
246 725 589  72 91
