15
804 459 490  959
622 666 638  428
467 408 760  157
459 434 795  721
421 834 809  254
928 893 562  387
491 747 486  636
695 713 598  297
665 443 685  585
897 697 831  131
913 780 866  771
507 922 578  504
402 933 599  150
969 690 434  900
516 964 453  685
15
574 156 691  128 39
383 382 517  290 222
425 196 116  7 200
728 494 68  102 262
449 204 353  202 157
387 799 739  56 164
533 113 613  93 261
148 663 722  282 181
393 544 690  120 158
190 357 316  25 6
375 190 436  257 260
446 471 641  225 78
543 94 755  282 261
224 187 687  287 33
115 772 9  93 20
