#Vengono inclusi solo gli oggetti messi nello zaino
#Dimensione Zaino 986 486 422
#La prima riga indica le dimensioni dello zaino
#Formato: i pos_i_x pos_i_y pos_i_z rot_dim_i_x rot_dim_i_y rot_dim_i_z
986 486 422
0	0 0 0 	88 168 90 
1	88 0 0 	301 399 67 
2	595 0 101 	59 59 321 
3	389 0 347 	144 34 75 
4	389 0 126 	141 34 73 
5	389 0 0 	139 146 126 
6	0 64 177 	497 422 245 
7	675 44 0 	311 128 270 
8	616 59 270 	370 393 101 
9	533 333 0 	441 153 151 
10	497 182 174 	50 304 200 
11	778 0 374 	208 170 48 
12	776 316 222 	210 170 48 
13	654 0 0 	205 44 168 
14	781 285 0 	205 48 170 
15	547 0 0 	48 208 170 
