#Vengono inclusi solo gli oggetti messi nello zaino
#Dimensione Zaino 612 492 384
#La prima riga indica le dimensioni dello zaino
#Formato: i pos_i_x pos_i_y pos_i_z rot_dim_i_x rot_dim_i_y rot_dim_i_z
612 492 384
0	0 0 319 	65 116 65 
1	79 0 289 	70 164 95 
2	242 0 234 	194 228 93 
3	166 0 0 	130 130 130 
4	149 0 304 	67 305 80 
5	436 0 363 	168 211 21 
6	216 0 130 	26 174 215 
7	0 0 0 	43 208 167 
9	562 0 0 	50 248 179 
10	296 0 0 	52 255 192 
11	436 0 0 	126 279 308 
12	43 0 0 	123 309 276 
13	246 0 327 	190 203 57 
14	379 0 0 	57 203 190 
