#Vengono inclusi solo gli oggetti messi nello zaino
#Dimensione Zaino 5 2 4
#La prima riga indica le dimensioni dello zaino
#Formato: i pos_i_x pos_i_y pos_i_z rot_dim_i_x rot_dim_i_y rot_dim_i_z
5 2 4
0	1 0 0 	1 1 1 
1	0 1 0 	1 1 1 
2	4 1 2 	1 1 1 
3	0 1 2 	1 1 1 
4	0 0 2 	1 1 1 
5	1 1 3 	1 1 1 
6	3 1 2 	1 1 1 
7	3 1 3 	1 1 1 
8	3 0 1 	1 1 1 
9	2 1 2 	1 1 1 
10	0 0 0 	1 1 1 
11	2 0 3 	1 1 1 
12	4 0 1 	1 1 1 
13	4 1 3 	1 1 1 
14	2 0 2 	1 1 1 
15	0 1 3 	1 1 1 
16	2 0 0 	1 1 1 
17	3 1 0 	1 1 1 
18	2 1 3 	1 1 1 
19	1 0 2 	1 1 1 
20	0 0 3 	1 1 1 
21	2 1 1 	1 1 1 
22	0 0 1 	1 1 1 
23	3 0 0 	1 1 1 
24	4 1 0 	1 1 1 
25	3 0 2 	1 1 1 
26	4 1 1 	1 1 1 
27	1 0 1 	1 1 1 
28	1 1 1 	1 1 1 
29	4 0 0 	1 1 1 
