#Vengono inclusi solo gli oggetti messi nello zaino
#Dimensione Zaino 986 486 422
#La prima riga indica le dimensioni dello zaino
#Formato: i pos_i_x pos_i_y pos_i_z rot_dim_i_x rot_dim_i_y rot_dim_i_z
986 486 422
0	0 0 0 	19 348 248 
1	160 397 330 	86 89 89 
2	19 0 0 	43 53 210 
3	116 128 0 	57 57 106 
4	373 0 256 	128 128 130 
5	62 286 0 	98 103 256 
6	272 0 0 	101 52 93 
7	501 0 0 	54 62 205 
8	62 185 0 	98 101 256 
9	173 103 0 	200 383 330 
10	373 128 0 	613 318 364 
11	555 0 93 	230 118 215 
