1
401 217 256  174
40
34 301 485  429 374
430 64 251  402 442
99 129 79  161 208
64 344 48  214 459
205 154 456  305 187
181 447 338  206 181
137 152 312  29 54
275 182 486  151 286
306 355 457  406 217
255 245 328  185 118
357 307 232  480 452
57 270 494  141 68
373 58 178  258 31
428 337 401  164 411
416 471 295  39 337
220 56 336  185 367
2 165 437  387 435
280 301 176  290 271
210 442 291  287 182
291 229 134  449 151
269 495 37  142 130
327 114 20  247 277
423 52 269  243 373
271 46 349  389 37
224 292 63  123 146
244 385 59  120 103
175 326 403  179 173
80 389 224  287 268
444 246 206  405 249
318 387 294  22 22
33 159 499  368 288
382 39 282  418 196
329 258 338  372 188
414 379 372  26 418
405 359 437  299 97
345 422 275  169 233
266 478 191  492 12
3 481 265  236 235
51 335 454  374 129
4 67 248  266 103
