15
862 432 712  428
603 687 908  913
931 838 403  687
602 842 430  712
988 803 1000  378
687 670 410  745
730 994 403  375
773 603 822  427
801 942 639  127
943 806 973  822
405 771 635  521
984 905 543  761
944 666 511  792
503 656 783  497
776 584 960  709
30
342 335 235  32 282
692 597 676  251 232
697 315 123  158 197
721 132 464  59 111
542 578 144  195 143
604 293 464  291 255
250 109 734  28 91
561 209 394  141 116
167 354 359  187 198
790 149 115  71 204
358 412 557  86 205
792 704 662  9 3
303 724 565  51 28
243 612 422  92 101
657 344 176  48 4
544 234 355  119 208
49 192 600  25 58
152 417 536  236 57
222 753 515  78 137
144 667 477  281 51
38 480 280  195 20
409 390 503  117 149
359 15 95  231 33
791 510 253  12 268
789 232 262  195 211
287 373 789  95 51
90 308 728  124 49
122 210 334  242 141
106 639 48  177 75
9 273 525  144 71
