15
746 801 537  991
826 768 636  706
594 424 986  389
501 856 899  401
637 737 874  517
482 420 981  541
647 736 940  871
634 954 787  802
550 695 738  381
583 957 764  234
404 928 780  114
615 767 655  337
921 963 457  158
713 1000 891  591
746 477 845  889
40
793 470 128  184 65
653 439 595  272 15
291 94 593  128 173
481 292 598  169 233
505 458 591  270 137
754 265 554  291 282
330 88 215  300 2
630 282 82  10 20
394 454 237  33 200
395 637 254  16 144
289 336 762  12 118
83 213 784  228 143
786 486 428  17 78
95 235 89  98 77
254 332 214  269 96
87 328 13  273 279
719 23 658  118 273
119 119 735  36 159
56 700 148  240 246
641 459 579  57 68
200 282 665  140 84
101 648 197  193 29
421 637 92  249 242
28 127 211  13 23
551 51 390  210 230
38 785 104  82 28
550 470 70  71 250
427 528 451  103 108
167 455 488  77 124
312 415 796  88 93
321 390 359  132 274
283 446 24  89 251
651 21 734  113 55
619 689 589  259 98
30 375 246  264 156
552 290 708  81 62
405 357 180  109 73
32 556 177  294 6
109 496 490  63 46
551 491 286  92 134
