15
580 411 601  190
891 466 886  470
991 786 977  601
845 516 444  186
460 977 682  488
461 539 829  369
731 948 424  289
496 804 579  823
410 966 813  260
778 891 424  342
501 881 476  873
502 729 412  289
439 774 628  769
460 674 813  384
856 829 409  580
30
749 108 387  288 201
155 451 62  67 13
433 785 579  173 207
796 399 645  216 148
110 554 791  122 159
38 513 460  294 127
219 267 748  137 32
131 134 126  148 187
335 267 396  146 189
773 645 43  27 218
521 456 716  2 240
638 192 220  128 180
342 458 214  275 45
763 72 498  245 217
31 211 761  179 14
754 700 30  195 84
155 297 33  289 70
118 676 154  112 153
639 35 147  158 24
755 393 471  169 181
61 461 44  227 142
746 497 720  158 175
507 520 756  77 252
360 98 389  208 123
784 770 696  68 147
619 239 497  48 65
536 321 233  220 76
333 121 515  188 251
590 345 341  92 68
462 799 139  90 163
