15
723 544 815  392
696 448 825  326
457 702 889  974
788 855 775  893
796 575 677  774
515 914 787  356
750 475 533  327
939 720 420  500
773 846 629  196
884 453 910  772
847 921 447  859
766 641 810  485
881 755 651  446
904 535 641  742
911 583 649  928
30
283 160 373  51 208
35 426 6  8 30
51 67 70  260 57
794 267 612  134 274
689 249 45  115 180
372 791 667  139 193
411 290 340  148 218
55 476 467  214 287
494 270 394  107 214
511 222 684  18 239
163 428 545  10 125
704 389 601  210 146
514 141 800  65 112
96 529 302  32 114
593 237 722  156 77
375 161 163  53 2
634 600 545  176 42
195 627 577  179 158
459 707 445  96 281
540 92 124  157 283
616 499 573  51 268
298 20 50  97 207
791 509 764  224 33
99 678 26  62 153
464 430 21  186 188
465 150 277  57 240
650 106 198  68 111
790 586 680  30 133
555 264 22  197 127
715 350 189  129 51
