15
736 781 868  114
917 795 540  265
827 757 938  693
811 736 610  100
717 836 556  165
813 419 911  883
907 534 976  841
647 819 832  340
713 955 406  348
410 483 627  889
568 995 679  567
607 598 594  633
976 854 524  326
817 834 991  676
905 915 641  420
20
667 303 561  298 66
32 292 528  4 207
419 647 657  239 85
714 108 769  112 289
545 269 290  2 281
175 311 432  120 141
617 632 105  124 137
768 540 212  211 101
182 362 313  41 29
183 678 777  56 78
367 480 798  17 134
165 593 661  274 111
581 286 393  116 26
469 362 454  149 231
348 538 760  196 131
272 686 692  272 136
323 335 515  115 145
702 194 295  43 244
266 220 231  186 74
361 30 463  295 233
