15
874 687 689  579
710 837 736  257
613 464 929  477
563 667 698  399
825 421 576  997
551 480 491  141
847 621 782  619
704 494 781  779
994 440 466  506
464 889 875  584
943 971 621  587
744 838 880  755
715 455 929  695
433 883 982  680
571 409 851  318
15
313 402 482  24 275
756 303 172  165 187
424 450 420  289 272
346 576 438  152 122
99 201 32  7 186
548 637 752  11 238
708 251 98  143 82
601 511 781  286 216
637 554 108  105 46
272 173 73  228 231
202 800 125  266 100
781 699 522  18 19
96 155 484  235 103
503 244 294  46 131
669 35 285  299 221
