15
870 663 824  362
993 683 640  740
731 906 481  919
865 550 778  150
484 915 845  796
654 643 519  478
602 641 902  317
570 503 884  442
536 584 908  429
576 618 609  363
632 741 795  498
800 734 555  442
972 579 729  689
452 400 545  508
882 675 694  576
15
207 651 233  77 241
721 136 620  31 227
539 28 249  299 10
554 43 335  131 204
230 545 661  37 207
116 228 90  268 62
482 59 400  219 161
464 375 531  273 235
515 515 577  256 66
132 367 282  59 172
43 384 656  54 97
454 359 653  198 233
717 610 420  7 164
321 82 486  87 164
764 353 532  215 253
