15
808 499 629  860
963 749 728  738
926 888 522  715
833 987 960  606
872 872 660  741
903 855 963  803
830 440 872  139
431 855 881  385
818 546 513  543
476 446 736  926
419 748 638  254
533 786 423  596
647 576 960  446
543 524 625  809
466 884 937  651
20
203 244 140  1 224
656 783 439  88 66
73 531 687  41 14
104 766 744  156 107
277 522 587  237 207
348 213 451  52 83
172 648 767  254 213
774 530 139  277 91
211 259 197  279 24
154 318 612  65 244
409 714 319  295 179
295 75 269  68 47
522 646 467  42 209
482 160 511  234 131
729 311 547  236 56
247 112 369  67 247
542 173 550  70 148
555 552 184  218 183
782 623 774  99 48
689 370 772  232 116
