15
783 619 964  226
424 819 726  501
868 768 906  633
552 812 548  125
578 750 761  633
508 467 573  291
422 449 478  555
932 484 753  990
629 979 812  318
605 984 554  342
789 577 443  276
865 841 701  267
497 937 646  639
915 506 991  957
617 869 911  186
15
572 712 300  207 207
523 751 780  205 252
284 558 326  213 15
125 75 470  229 70
143 60 546  200 244
568 4 649  37 292
610 234 645  231 25
189 36 283  88 148
556 341 419  54 232
340 215 449  119 195
510 650 481  39 93
49 6 215  74 184
32 140 707  74 181
66 394 527  209 184
137 378 206  124 221
