15
690 566 891  548
470 651 413  726
869 839 692  897
555 649 939  207
814 832 911  114
869 457 949  332
674 729 760  382
473 678 716  963
962 774 410  233
875 653 885  216
915 945 865  841
516 888 883  447
848 722 506  701
452 1000 673  879
462 445 640  327
20
667 252 192  199 100
469 759 128  82 94
46 219 383  182 187
763 648 289  211 299
214 568 692  193 215
207 469 513  85 263
492 268 223  208 231
433 415 111  88 56
614 515 249  97 237
731 540 296  127 28
741 179 220  294 300
635 118 165  222 252
748 692 347  130 130
636 81 470  37 258
329 731 276  184 49
208 325 113  7 39
662 652 54  94 236
481 736 516  187 80
633 325 81  246 229
555 563 279  257 286
