15
529 699 735  760
647 907 516  448
798 908 776  241
603 580 419  754
428 854 760  459
514 499 910  450
704 644 664  915
832 790 751  244
685 916 684  578
420 423 541  842
569 450 905  464
789 969 733  286
633 910 602  269
803 482 605  990
878 528 711  606
40
693 382 637  258 216
772 616 280  236 183
508 739 99  50 212
623 604 521  241 207
224 577 262  223 272
652 452 790  106 192
465 265 285  25 13
358 724 524  36 285
4 680 312  129 221
292 177 670  267 74
432 653 206  20 195
48 222 182  119 167
230 220 706  49 242
737 650 141  176 249
501 669 669  27 111
441 349 619  270 78
572 435 386  34 134
694 75 99  257 243
760 410 595  288 139
144 726 570  106 65
627 35 336  238 130
311 566 764  26 228
661 87 157  298 221
44 15 15  245 266
407 146 448  221 111
725 215 146  41 139
67 699 11  169 41
653 637 384  1 286
348 351 413  274 205
453 54 182  89 15
690 143 372  72 191
443 346 8  244 80
22 285 710  238 2
375 74 444  30 69
63 653 144  187 206
277 691 781  144 118
670 505 376  103 263
55 586 549  192 23
794 327 777  203 281
405 35 38  59 256
