5
841 818 821  628
660 400 786  162
462 762 573  299
805 551 535  781
942 408 478  241
30
328 433 23  30 300
584 249 327  102 117
115 408 392  265 285
799 367 136  189 60
137 455 141  245 82
711 790 13  204 300
723 661 362  41 53
23 635 353  71 134
30 556 496  126 57
460 784 236  155 209
4 562 208  128 143
536 579 541  56 281
361 635 589  223 59
576 80 378  220 180
217 228 506  88 138
713 561 140  27 192
365 284 444  168 150
584 702 10  25 175
773 200 214  142 141
113 22 114  215 140
275 291 336  159 212
760 371 208  110 217
423 416 613  100 138
358 475 568  2 99
746 669 455  97 101
698 76 103  214 252
270 639 206  241 93
93 45 402  189 138
295 179 564  68 35
223 110 398  242 151
