5
898 662 964  968
798 861 906  715
658 878 783  682
505 616 618  822
734 809 844  295
40
729 711 635  185 88
470 535 148  252 260
437 519 225  198 270
16 683 424  195 125
118 732 575  86 140
443 470 611  181 133
1 451 196  88 170
261 689 444  109 286
278 253 339  193 192
783 659 230  47 254
31 786 97  260 177
273 658 356  120 208
30 166 744  123 142
743 600 25  254 150
143 675 83  296 253
227 381 311  41 57
578 205 397  117 212
464 581 502  83 288
128 280 186  285 233
280 65 321  196 128
255 701 781  91 201
346 783 45  94 24
503 236 465  8 65
192 674 74  121 141
422 425 223  86 242
404 70 270  161 10
501 101 484  215 166
718 184 364  138 169
272 207 580  108 116
770 439 769  189 189
4 247 511  280 205
348 304 402  76 78
18 304 536  233 130
42 438 666  59 169
593 557 751  271 218
180 429 247  283 253
319 550 29  27 191
9 317 313  194 73
408 8 281  121 208
443 716 732  40 10
