5
453 554 542  184
473 561 582  703
640 583 731  268
679 472 627  344
506 726 798  311
40
514 185 23  79 157
538 231 735  259 14
750 280 780  244 263
558 707 246  221 298
343 750 23  143 263
236 100 242  189 86
458 565 58  290 158
452 216 117  82 259
465 644 451  44 196
12 78 589  219 70
721 424 165  91 171
247 203 130  6 53
101 41 348  81 297
738 761 175  31 85
425 546 88  141 237
16 369 613  54 89
339 467 232  162 196
622 296 283  87 212
527 519 646  35 265
712 22 718  101 216
536 484 102  300 18
488 368 449  21 114
775 39 673  235 29
318 350 437  207 97
119 18 328  23 70
798 603 208  264 5
580 174 387  52 183
559 524 88  124 121
128 428 156  13 62
375 177 512  256 16
693 431 88  226 186
466 260 635  233 26
472 608 277  149 107
339 257 464  252 149
369 501 692  296 162
410 565 250  136 94
295 138 628  68 103
268 126 416  265 211
797 16 76  282 81
562 677 240  137 169
