5
922 697 874  609
713 531 557  552
478 905 877  168
503 413 415  821
593 836 993  582
40
298 776 550  221 167
491 240 190  166 245
364 452 437  14 245
659 444 677  24 162
12 564 563  138 32
305 415 12  289 211
473 8 233  262 158
640 43 179  38 254
450 261 31  245 258
638 277 578  205 131
181 279 746  48 74
212 605 141  239 178
519 557 484  18 159
590 363 237  79 163
528 393 795  218 242
545 349 92  40 299
736 398 41  231 27
160 253 20  47 219
208 151 406  193 213
793 731 421  257 249
165 278 620  98 93
379 748 283  98 275
477 382 544  284 297
164 139 67  271 24
91 694 262  115 2
782 445 253  53 152
611 625 34  43 39
606 277 107  161 199
706 655 227  234 167
763 515 235  14 257
328 157 400  206 26
251 483 772  125 295
461 432 7  115 136
557 125 664  172 127
337 523 435  125 64
537 554 86  93 47
507 476 372  219 99
408 688 487  25 43
532 76 485  102 269
583 231 522  21 67
