5
682 428 425  487
648 641 789  262
710 558 639  460
740 772 763  122
574 642 920  399
30
557 742 413  93 106
627 377 420  285 175
439 757 661  280 178
285 659 24  209 92
74 587 751  234 64
744 442 655  226 260
384 282 729  292 150
697 388 774  264 118
280 157 215  293 298
580 226 754  240 228
170 5 301  245 66
592 637 334  200 48
395 479 483  223 5
537 180 567  167 210
277 726 236  291 107
146 221 798  150 33
472 61 35  62 120
500 126 683  261 94
224 195 567  59 160
470 130 793  293 206
663 577 267  290 145
489 794 102  14 290
71 782 183  174 132
667 476 477  38 196
624 661 623  20 230
66 23 431  193 218
569 406 787  9 192
638 509 204  233 2
83 477 453  11 15
277 691 282  153 267
