5
665 748 1000  501
789 687 913  686
419 736 689  777
661 702 704  885
933 455 798  580
30
167 683 704  55 294
571 159 375  143 283
381 628 215  140 11
183 461 696  215 30
65 216 131  266 284
242 770 689  124 164
442 442 490  13 159
177 382 572  24 58
513 351 753  29 244
718 133 533  143 5
766 22 636  248 153
57 88 546  184 1
449 794 472  146 233
561 533 770  259 191
4 457 401  269 11
213 36 207  213 163
206 649 283  203 133
76 246 319  17 45
59 283 427  130 300
321 224 662  250 244
588 588 207  197 263
60 744 161  108 277
197 112 372  235 269
510 489 599  252 39
454 506 230  137 108
293 668 32  174 39
417 539 397  242 271
697 248 33  44 110
228 204 608  37 218
188 339 710  26 216
