5
694 626 698  959
835 956 566  113
742 896 768  198
406 593 687  348
594 525 979  666
30
352 333 286  217 1
373 518 772  32 291
248 577 697  24 73
560 453 239  220 33
645 682 232  53 123
34 786 144  35 300
252 439 758  9 36
737 485 13  5 74
762 668 360  110 24
493 268 369  67 269
600 297 268  278 19
213 421 635  137 228
623 687 783  258 228
723 125 66  279 72
640 503 107  22 256
5 117 764  9 180
623 484 137  7 39
430 346 396  125 252
333 233 66  155 22
306 289 362  178 135
568 603 37  154 278
146 57 750  74 157
242 584 17  220 284
462 138 722  225 43
786 95 170  173 293
48 89 387  98 121
768 784 46  209 119
608 275 16  82 290
16 382 171  249 246
211 46 490  9 82
