5
723.60 984.00 1089.60  1141.20
765.60 982.80 834.00  888.00
1148.40 1045.20 902.40  542.40
1102.80 1047.60 999.60  901.20
583.20 679.20 662.40  1135.20
20
136 472 507  32 131
676 151 698  281 195
606 354 247  220 155
18 783 275  273 36
279 248 34  37 246
501 605 150  126 169
406 556 565  221 180
571 436 774  67 8
104 275 274  274 209
286 791 258  33 137
65 751 519  172 58
289 710 574  23 68
451 753 759  268 279
301 609 675  144 253
785 435 516  81 236
267 278 45  7 265
25 352 451  40 164
400 777 432  107 162
405 606 723  23 97
81 733 201  122 18
