5
1190.40 880.80 804.00  384.00
669.60 912.00 597.60  338.40
744.00 705.60 608.40  829.20
801.60 721.20 957.60  751.20
1094.40 1038.00 548.40  405.60
20
109 435 497  245 200
430 492 459  241 75
139 183 526  137 294
323 298 524  240 159
790 28 240  196 62
284 249 105  148 98
417 774 377  119 279
213 27 751  124 124
325 773 654  196 195
685 146 790  134 270
128 143 214  215 197
799 488 15  196 1
354 634 567  190 52
378 409 722  133 149
760 5 6  29 256
404 280 433  175 108
391 184 386  142 53
412 390 359  70 204
169 456 551  258 57
696 756 778  277 118
