5
626 791 832  857
698 551 651  612
927 928 883  524
853 489 462  203
441 539 959  301
40
343 4 714  200 229
502 377 546  255 277
480 397 212  130 207
175 343 307  296 73
500 36 86  118 219
554 216 486  55 253
544 337 74  228 128
252 766 395  171 154
702 493 2  49 148
760 196 438  48 208
82 176 121  291 276
647 588 190  295 208
67 490 457  42 126
796 159 257  118 249
616 238 459  121 215
252 9 28  226 220
446 496 486  149 266
312 515 710  99 168
775 9 180  195 176
460 493 447  89 40
306 721 746  265 5
652 391 680  126 131
727 283 460  148 292
749 396 673  186 199
181 458 132  291 191
307 241 548  15 274
56 277 59  189 126
774 779 431  85 159
305 489 290  116 39
328 455 193  264 122
253 672 514  70 277
609 688 495  294 61
752 483 449  170 135
673 325 531  233 69
414 686 530  153 140
131 139 180  33 25
143 548 258  170 178
676 50 394  116 251
328 478 263  147 131
45 746 554  148 23
