5
765.60 930.00 1184.40  1052.40
583.20 597.60 739.20  196.80
753.60 1068.00 1002.00  601.20
650.40 790.80 788.40  403.20
850.80 871.20 529.20  1152.00
20
783 36 80  186 59
680 608 199  98 227
457 628 5  32 263
242 581 501  250 288
711 379 482  33 27
573 433 444  193 164
274 496 466  241 269
247 131 573  108 198
298 483 496  169 229
321 705 314  187 72
414 708 790  90 40
749 182 561  81 97
797 255 505  22 100
192 170 451  30 106
563 285 330  4 182
245 295 563  190 96
281 479 69  167 30
474 439 187  264 266
8 632 79  288 111
331 584 131  144 89
