5
847 595 717  521
575 532 411  127
993 520 847  903
531 546 640  368
565 899 878  162
30
77 570 724  265 150
778 527 122  204 296
70 503 14  257 284
247 171 155  212 137
480 593 760  32 37
772 652 328  51 180
234 325 792  105 142
293 522 318  153 186
615 782 642  97 72
751 599 167  82 6
518 794 321  23 269
128 646 503  136 106
528 306 322  187 39
171 573 225  138 162
564 264 193  108 138
132 693 148  33 248
267 456 610  167 147
207 347 379  125 160
159 484 360  226 296
688 781 147  248 50
522 501 616  172 130
165 564 785  164 28
454 365 776  231 82
765 773 56  213 294
774 29 447  265 145
207 371 524  224 36
701 141 308  84 76
386 11 435  294 292
495 436 185  1 141
139 71 515  297 199
