1
792 717 758  423
40
342 315 256  467 158
470 377 124  374 231
486 397 348  274 412
99 73 240  19 1
109 209 293  180 53
468 427 123  123 46
354 160 95  223 30
354 499 303  366 198
98 70 156  394 357
100 297 18  164 144
467 37 33  380 246
285 279 207  213 204
259 298 243  291 246
174 217 208  415 123
190 291 402  487 91
495 190 142  266 481
470 457 295  78 432
188 287 238  497 250
471 147 372  297 58
257 235 227  63 286
287 357 292  152 91
489 337 51  84 138
290 125 240  375 152
205 161 233  489 77
317 487 331  147 416
281 436 194  406 79
73 353 176  462 70
336 31 168  466 377
164 181 50  29 179
430 281 485  194 31
312 378 355  169 179
214 232 295  487 336
196 240 381  220 122
334 55 239  208 328
219 452 94  3 160
221 94 205  237 437
434 80 363  276 223
117 372 384  471 231
186 470 374  63 137
291 75 270  338 335
