1
668 564 744  593
30
468 458 117  72 49
79 205 406  222 215
474 476 145  77 469
336 33 80  445 79
306 145 450  484 107
424 86 482  39 105
201 296 219  457 141
134 18 316  365 478
495 169 428  29 398
25 438 239  388 419
294 448 319  229 74
9 184 97  2 197
114 92 72  305 414
194 415 58  415 329
462 441 226  114 203
10 483 411  248 314
488 413 302  225 53
487 252 1  448 68
433 345 479  356 394
305 188 406  265 202
313 120 147  298 333
326 431 404  212 79
404 311 439  304 275
488 321 307  238 261
146 446 329  357 291
267 398 367  267 264
48 49 436  423 88
23 141 63  426 388
171 98 137  420 453
187 413 444  173 241
