5
892.00 1300.00 1488.00  1018.00
1644.00 1866.00 904.00  758.00
872.00 1072.00 1016.00  1742.00
1144.00 1302.00 1230.00  1338.00
1584.00 1454.00 1114.00  758.00
20
408 528 768  140 88
170 97 372  110 276
486 596 406  141 103
220 237 563  184 300
502 377 373  201 156
34 573 518  16 16
161 279 663  292 91
681 752 780  187 258
651 350 141  289 213
572 242 278  248 180
97 490 413  254 104
699 361 638  104 87
196 485 710  69 116
294 646 82  154 42
345 671 518  219 148
370 205 326  287 41
798 446 605  52 234
131 547 545  248 51
327 577 263  155 69
326 129 343  24 289
