5
1068.00 934.80 542.40  810.00
928.80 1084.80 1009.20  194.40
871.20 1065.60 636.00  814.80
1101.60 1167.60 835.20  540.00
811.20 1101.60 517.20  981.60
20
438 671 773  136 24
58 687 515  168 109
602 656 645  217 87
225 781 559  238 5
106 695 131  279 51
261 780 488  271 55
199 582 208  133 280
401 631 379  238 280
289 671 275  185 68
707 469 724  78 132
540 629 753  135 241
146 130 223  227 141
664 736 602  195 291
141 647 515  268 134
300 251 280  43 166
677 362 222  278 36
694 241 573  173 104
771 369 438  14 104
786 567 574  172 68
643 185 700  190 199
