5
71 358 129  765
106 258 239  146
85 126 434  36
378 295 399  994
66 78 314  474
30
59 441 316  178 126
48 329 203  235 443
114 158 308  36 228
410 439 424  272 107
374 399 469  58 306
126 17 235  218 65
271 42 284  250 344
337 189 25  259 58
226 15 491  482 491
324 350 467  62 393
370 398 124  34 329
335 175 368  234 350
429 486 257  170 240
337 349 274  195 356
172 51 149  123 348
103 366 72  85 250
401 399 326  269 421
123 274 316  387 79
475 232 27  155 295
311 232 134  249 478
278 101 409  142 353
328 209 152  77 171
109 197 401  325 265
445 456 256  415 431
437 331 221  242 204
178 224 127  149 100
200 460 180  437 14
68 330 327  35 121
261 211 408  211 18
54 257 341  110 436
