5
185 349 276  598
470 375 491  44
5 213 195  35
445 440 472  592
303 423 409  764
30
336 403 132  142 261
147 144 131  424 384
271 472 107  136 105
26 447 83  296 282
313 83 388  69 426
297 249 275  369 454
271 403 9  66 51
368 468 266  442 76
11 67 77  458 3
348 71 251  31 176
355 288 240  428 23
313 340 318  390 271
244 45 95  251 355
17 318 132  327 394
126 14 167  342 356
90 156 249  138 447
42 120 255  5 274
311 199 358  41 186
135 411 193  23 456
370 286 427  48 36
88 356 479  437 423
202 57 110  390 214
290 43 126  99 38
361 333 42  132 349
210 322 296  403 116
126 298 420  102 316
248 80 372  55 48
202 354 192  377 391
214 322 401  99 445
281 409 334  495 301
