5
80 73 373  889
145 6 39  872
213 171 37  280
445 475 105  96
120 485 289  156
30
96 329 151  245 372
223 13 97  431 34
270 418 264  469 362
493 40 319  69 373
389 132 153  52 374
286 200 119  44 204
184 309 276  339 391
5 218 202  285 374
475 112 158  234 346
443 458 84  232 445
147 178 164  141 127
225 239 73  500 34
55 324 323  142 401
165 204 480  280 231
23 293 295  404 264
191 27 66  33 179
194 445 29  199 79
221 228 43  357 32
386 170 167  89 18
296 473 22  317 356
75 260 259  101 303
419 141 113  316 419
230 416 24  136 374
92 286 124  5 6
46 84 236  74 82
386 194 134  416 73
132 45 95  318 467
48 83 299  105 15
41 176 309  8 67
248 265 379  429 182
