5
112 379 461  802
146 417 231  827
109 16 56  284
468 67 216  424
498 122 401  325
30
301 211 5  6 411
362 326 382  413 108
62 396 367  391 237
230 420 408  362 26
217 112 184  494 1
202 142 416  11 279
424 247 410  119 273
372 36 134  435 219
82 459 276  384 249
191 132 446  16 301
253 48 146  489 177
196 398 445  451 215
2 11 76  65 236
352 355 342  38 81
433 319 182  463 133
180 85 15  410 470
209 362 162  407 301
327 481 215  118 354
437 116 75  117 466
271 124 191  403 173
488 285 422  286 123
273 164 216  27 216
453 385 488  274 479
146 105 399  398 382
472 353 74  367 125
200 123 491  228 57
138 50 295  47 212
388 479 157  103 380
238 451 394  128 271
410 97 184  466 53
