2
513 866 755  535
856	778	927	622
30
284 35 127  9 385
267 398 104  477 209
152 104 357  62 274
268 311 445  312 118
196 439 177  397 494
296 479 366  211 446
320 44 303  226 439
280 346 306  423 450
374 478 346  280 16
208 66 19  489 106
100 344 326  121 277
315 123 104  289 407
277 471 276  265 420
368 68 464  290 347
187 306 173  309 193
244 456 230  352 223
287 391 293  303 481
252 109 436  475 179
38 100 341  175 238
312 359 415  225 375
87 58 154  11 329
221 186 59  468 205
439 492 214  101 395
4 128 76  227 126
200 165 334  88 370
286 455 389  390 393
452 454 81  24 442
170 244 376  150 461
297 41 470  173 50
395 71 301  32 310
