10
468 752 731  178
605 639 979  905
668 787 527  483
874 486 963  970
927 481 520  135
457 431 542  386
448 491 873  306
561 759 512  236
431 912 503  130
848 528 898  204
30
684 515 218  167 278
290 744 638  246 21
573 488 28  168 285
95 643 431  154 31
139 136 15  46 285
723 55 361  281 163
285 540 450  152 165
770 563 661  278 84
21 665 616  42 140
374 480 283  191 140
395 257 684  243 99
362 777 422  73 72
377 446 600  36 44
575 762 497  4 219
170 201 790  296 61
653 291 204  101 95
56 633 512  111 65
536 511 86  205 201
341 193 687  149 133
75 751 645  23 220
28 771 791  41 206
766 489 420  226 23
139 740 424  212 78
701 702 354  136 24
444 639 556  92 259
145 658 318  228 278
665 201 137  274 262
60 212 309  14 75
265 534 318  156 192
425 399 477  157 220
