10
628 750 935  324
608 553 748  675
509 639 565  161
773 995 547  617
682 735 467  968
702 793 477  585
550 653 405  299
732 416 725  187
478 921 723  770
994 979 447  555
20
710 59 187  226 20
167 251 455  297 230
125 479 486  131 117
285 111 540  244 129
717 174 215  185 181
673 314 746  277 225
708 514 182  111 199
75 223 598  11 228
588 727 619  189 31
126 479 135  290 105
116 350 678  154 176
164 797 483  188 26
144 399 798  24 182
463 743 662  196 200
257 618 171  148 155
712 731 344  63 259
312 308 725  297 160
161 590 371  217 120
701 475 659  58 85
645 125 494  138 124
