15
917 590 466  741
541 932 563  130
694 644 437  402
986 516 918  935
584 614 500  937
732 408 578  741
844 509 582  363
660 549 437  894
914 911 864  715
679 425 472  632
524 632 719  343
730 458 450  103
667 877 659  501
477 865 812  998
867 652 552  260
30
721 371 181  49 122
395 261 625  213 85
22 178 214  46 253
634 383 763  127 63
488 634 460  150 248
3 442 317  53 106
32 407 295  113 190
649 411 270  208 299
771 414 331  238 37
436 383 576  220 17
161 680 5  122 102
750 510 298  95 25
473 578 264  51 145
370 291 629  157 195
239 243 592  6 174
501 477 721  277 194
5 528 668  228 202
574 742 436  251 143
115 676 95  184 113
197 312 556  132 48
418 109 480  163 136
1 620 488  259 249
677 724 570  46 191
402 614 769  219 204
311 247 101  47 7
13 245 60  228 142
349 16 148  256 2
332 366 522  50 14
374 699 673  138 35
630 53 329  39 73
