15
558 480 768  609
821 946 938  849
802 745 830  705
1000 655 451  532
650 609 484  460
867 541 638  542
426 507 520  500
426 749 401  690
937 666 607  107
494 738 491  114
957 864 582  692
883 629 994  461
640 879 539  740
805 905 898  519
774 672 572  434
15
781 13 693  2 81
627 362 39  186 231
532 620 136  244 109
284 375 311  253 125
784 493 276  168 46
597 565 225  144 176
784 753 100  204 285
200 448 469  189 168
603 503 474  155 56
635 422 110  298 231
402 130 61  165 11
159 466 238  293 176
331 798 210  221 38
62 779 499  139 123
505 343 800  19 82
