15
407 709 469  733
425 401 993  681
840 639 631  679
842 568 933  196
516 936 730  684
979 987 775  869
802 912 594  552
504 704 806  169
802 550 414  440
882 512 943  322
617 697 647  609
420 742 646  455
820 910 671  315
665 480 565  323
636 779 549  920
40
791 146 171  6 44
710 403 186  119 267
657 10 693  163 125
618 643 707  239 124
271 652 58  11 21
726 701 545  242 171
584 37 361  26 43
162 285 285  59 127
28 462 257  160 153
666 507 307  296 148
603 467 255  54 283
389 388 792  33 250
421 681 130  37 142
150 278 697  253 162
273 31 479  271 135
68 539 654  271 113
760 740 711  220 94
500 229 484  113 9
685 779 709  131 250
417 218 77  219 278
101 461 688  123 62
421 217 49  253 172
746 352 595  251 26
469 690 498  77 87
342 292 178  158 1
767 97 160  243 279
124 498 258  152 10
21 229 460  168 239
586 341 274  279 72
544 418 646  67 46
733 224 251  52 5
239 182 748  198 146
97 62 306  220 200
176 430 118  180 288
248 706 444  192 100
754 469 598  290 45
534 793 98  56 94
108 486 354  152 182
415 389 377  262 19
643 702 181  272 216
