15
739 868 769  956
919 598 635  200
561 472 774  148
925 480 557  892
642 411 556  170
738 701 933  262
638 544 988  491
411 707 856  969
446 871 516  458
856 584 706  698
410 986 756  549
649 820 848  972
712 948 625  396
919 918 878  556
443 781 428  501
40
342 631 315  266 87
738 526 556  54 75
663 1 288  81 99
309 260 561  75 132
537 400 123  200 237
728 354 638  152 277
285 59 261  122 10
182 584 570  199 15
593 378 185  247 290
298 319 159  53 218
405 128 675  130 225
414 96 796  227 29
300 681 133  117 187
360 185 485  82 199
446 300 278  196 188
496 657 582  74 152
298 612 601  13 255
125 259 471  112 22
204 257 81  117 49
348 441 398  10 75
548 161 675  132 199
660 536 577  140 292
327 62 426  75 181
652 106 516  38 73
461 55 667  285 55
475 145 516  269 226
382 248 263  85 259
510 776 170  219 144
259 578 748  158 33
182 62 188  87 111
163 374 173  272 193
156 471 672  176 236
742 360 202  179 129
15 726 182  51 121
632 91 714  296 96
483 363 147  212 21
403 28 346  277 250
754 74 390  158 188
770 376 156  154 268
748 684 146  296 203
