15
563 781 872  138
421 903 999  390
489 463 503  469
597 995 709  217
965 445 692  475
594 648 772  666
791 491 588  468
952 751 945  925
464 662 844  303
992 958 704  338
556 774 705  705
665 792 435  755
771 847 878  339
683 510 827  990
557 534 969  401
15
351 559 577  53 213
161 354 432  194 251
607 593 336  243 28
110 64 484  70 270
240 470 33  239 283
552 59 216  299 104
298 83 257  172 225
114 718 726  201 25
321 319 563  224 93
322 263 609  211 139
169 208 574  127 173
491 134 59  28 196
391 430 434  140 182
43 687 674  177 99
256 633 674  66 29
