15
757 784 419  899
826 689 656  423
888 900 953  810
447 810 694  457
977 859 861  987
667 773 726  201
602 1000 832  229
960 567 436  507
896 423 886  709
434 400 482  609
443 440 846  432
880 470 957  467
660 428 765  498
698 599 849  262
835 623 701  215
20
498 555 397  174 159
13 563 461  68 114
86 255 297  148 233
548 390 458  242 163
188 286 497  81 52
590 285 104  1 130
609 59 421  273 251
518 521 384  284 287
594 500 414  217 300
752 231 578  167 249
134 142 121  237 210
755 382 375  86 33
756 783 723  77 174
522 780 26  170 99
560 107 164  8 117
520 699 239  111 74
663 445 232  219 294
137 583 682  226 31
342 129 633  35 69
242 55 688  93 267
