#Vengono inclusi solo gli oggetti messi nello zaino
#Dimensione del 1-mo Zaino 2 2 2
#Dimensione del 3-mo Zaino 4 4 4
#Dimensione del 5-mo Zaino 2 2 2
#Knapsack 1-mo
2 2 2
2	0 0 1 	1 1 1 
3	0 1 1 	1 1 1 
4	1 1 1 	1 1 1 
9	1 0 0 	1 1 1 
37	0 0 0 	1 1 1 
#Knapsack 3-mo
4 4 4
0	-3e-09 1 1 	1 1 1 
1	3e-09 2 0 	1 1 1 
5	1 0 2 	1 1 1 
6	1 0 3 	1 1 1 
7	1 1 1 	1 1 1 
10	2 1 2 	1 1 1 
12	0 0 3 	1 1 1 
13	2 0 1 	1 1 1 
14	3e-09 0 2 	1 1 1 
15	0 1 3 	1 1 1 
16	1 1 3 	1 1 1 
17	1 1 0 	1 1 1 
18	0 1 3e-09 	1 1 1 
19	3 0 3 	1 1 1 
21	2 0 3e-09 	1 1 1 
22	3 1 2 	1 1 1 
23	2 1 3e-09 	1 1 1 
25	3e-09 3 3e-09 	1 1 1 
26	3 0 2 	1 1 1 
27	2 0 3 	1 1 1 
28	3 1 1 	1 1 1 
29	1 0 1 	1 1 1 
30	0 0 0 	1 1 1 
31	3 0 1 	1 1 1 
33	2 3 0 	1 1 1 
34	2 0 2 	1 1 1 
35	3e-09 1 2 	1 1 1 
36	2 2 0 	1 1 1 
38	3 0 0 	1 1 1 
39	1 0 3e-09 	1 1 1 
#Knapsack 5-mo
2 2 2
8	1 0 0 	1 1 1 
11	0 0 1 	1 1 1 
20	1 1 1 	1 1 1 
24	1 0 1 	1 1 1 
32	0 0 0 	1 1 1 
